TEXT,LABEL
There are conflicting data on low-Zn-related changes affect the SCFAs concentration in different animal models.,"Animal research, In vivo studies"
Maternal dietary interventions focused on these lipid species may potentially provide long-term benefits for the metabolic health of the offspring.,"Narrative review, Expert opinion, Editorial, Ideas"
"Nonetheless, regression to the mean is seen in clinical practice when serial lipid testing is performed in individual patients.",Cohort study
"One participant withdrew from the intermittent CR arm, one participant withdrew from the daily CR, and three participants withdrew from the control arm (Figure 1b).",Randomised controlled trial
"Although epidemiological studies have demonstrated relationships between sedentary behaviors and morbidity [6], most of our knowledge on mechanism comes from studies on the beneficial effects of adding exercise training.",Cohort study
"Altogether 33 subjects were screened, of which 24 fulfilled the inclusion criteria, leaving 24 subjects to be randomized (Figure 1).",Randomised controlled trial
Incorporating survey weights and accounting for the complex survey design is prudent for unbiased analysis of NHANES data.,Cross-sectional study
"A masked, double-blinded study was not possible given the visual differences between softgels and tablets and the number of pills required to reach the desired dose.",Randomised controlled trial
Since the Dietary Guidelines for Americans (DGA) suggests moderation in red meat intake [44] and red meat intake increases TMAO [45] we hypothesized that a DGA pattern would reduce plasma TMAO.,"Narrative review, Expert opinion, Editorial, Ideas"
"The purpose of this ancillary study was to investigate the relationship between the AL ratio, an emerging biomarker of adipose tissue dysfunction, and cardiometabolic health among older adults with obesity following a 12-month exercise and diet intervention",Cohort study
"In this pilot study of forty-one COVID-19 survivors and nine adults without history of infection, there were clear differences in the plasma fatty acid (PFA) profiles of those who experienced a moderate or severe disease course compared to the adults with mild disease and to the uninfected.",Cross-sectional study
Initial inclusion criteria for HbA1c (>53 mmol/mol [7.0%]) and BMI (>27 kg/m2) were lowered prior to study initiation to facilitate recruitment.,Cohort study
"A total of 64,391 participants from the cross-sectional study of CNNHS in 2016â?017 were included in this study.",Cross-sectional study
"For the P1000/Ca1000 intervention group, incubation of HT29 cells with FW from the eight-week time-point resulted in a significantly higher vitality of the cells compared to placebo (Fig.","In vitro research, Laboratory research"
"Finally, stratified analyses were performed by adding âheart diseaseâ? âhypertensionâ? âTIA or strokeâ?and âdiabetesâ?",Cohort study
"However, although this analytical variability might limit the comparability to the other studies, it does not interfere with the interpretation within our homogenous and well-defined human cohorts.",Cohort study
"Among the studies identified, we included only randomized controlled trials with measurements of fasting plasma glucose (FPG) and fasting insulin and intervention periods of â? week.",Randomised controlled trial
"Interleukin 6 (IL6) and tumor necrosis factor alpha (TNFÎ±) concentrations were analyzed in the supernatants of the cell culture wells using specific sandwich ELISAs (RayBiotech, Norcross, GA, USA) to test cytokine released by PBMCs maintained ex vivo.","In vitro research, Laboratory research"
"Concerning the thigh meat, there was also a significant decrease (p < 0.001) in SFA content, while there was an enhancement (p < 0.001) for the MUFA, PUFA, and n-6 FA in the groups supplemented with RBO, this was supported by linear and quadratic responses (p < 0.01) compared to the control group.",Randomised controlled trial
"Microarray experiments, described according to MIAME guidelines, have been deposited in the GEO repository.","In vitro research, Laboratory research"
Other shortcomings of the study designs are inconsistencies (such as in age) between case and control cohorts and the failure to include in the set of markers tested for replication those that are in LD with established markers.,Case-control study
"As intended, participants in the avocado group reported MUFA consumption that was â?0 g greater than the control group and 14 g of additional dietary fiber.",Randomised controlled trial
"In a second longitudinal study, performance of cognitive tasks improved between the age of ~ 9 weeks and 21 months, and the adult phenotype for some traits could be predicted from test results in puppyhood (188).",Cohort study
"These data allowed us to discuss whether EVOO polyphenols and unsaponifiable matter, in general, could be responsible for all the EVOO effects on the bacterial taxa that were not duplicated in the ROO experimental group.",Randomised controlled trial
"However, further prospective studies and clinical trials are needed to confirm our findings.",Randomised controlled trial
Pre-clinical studies have shown beneficial effects of glycosphingolipid synthesis in improving insulin sensitivity [46] and atherosclerosis [47].,"Animal research, In vivo studies"
"Because only a limited number of mice were available at one time, experiments spanning 11 weeks (2 weeks of acclimation, 8 weeks of diet challenge, post-diet phenotype assessments) for each âbatchâ?were performed in 7 batches, where each batch contained about 33 mice on average, except for batch 6 which contained 14 mice.","Animal research, In vivo studies"
"According to the previous large-scale molecular epidemiological studies, BLV genotype 6 was demonstrated to be the endemic strain in China, which shared a significant nucleotide/amino acid polymorphism with FLK-BLV (genotype 1) (Yang et al., 2019a,b; Yu et al., 2019).",Cohort study
"We performed a pair-wise intervention study of 31 LM and 31 LA, 1:1 matched by age, sex, body mass index, and daily dairy intake.",Non-randomised controlled trial
Significant body weight reductions have been demonstrated in clinical studies for lorcaserin (in obese patients with BMI 30â?5 kg/m2 or those with BMIââ¥â?7 kg/m2 with hypertension and/or dyslipidemia) [19]  and the combination of bupropion and naltrexone (in obese patients with BMIââ¥â?0 kg/m2 or those with BMIââ¥â?7 kg/m2 with hypertension and/or dyslipidemia) [20].,Randomised controlled trial
"No funding sources had any role in study design, data collection, data analysis, result interpretation, or writing of the report.",Randomised controlled trial
"Each feeding period lasted 6 weeks with a washâout period of 2â? weeks between each diet intervention (Figure S1, Supporting Information).",Randomised controlled trial
"Dark Chocolate Effect on Serum Adiponectin, Biochemical and Inflammatory Parameters in Diabetic Patients: A Randomized Clinical Trial",Randomised controlled trial
"After one week, ten mice in the experimental group were randomly chosen as normal group fed with standard chow, and the other 20 mice were fed a high-sucrose/high-fat diet (15% lard, 15% sucrose, 1% cholesterol, 10% yolk, 0.2% sodium deoxycholate, and 58.8% standard chow) to induce diabetes.","Animal research, In vivo studies"
"Furthermore, men of the P1000/Ca1000 intervention group had significantly higher acetate concentrations compared to men of the P1000/Ca0 one.",Randomised controlled trial
"Some animal experiments [28] and human epidemiologic studies [10, 11, 13, 15] have shown helminth infections to lower the blood sugar level and inhibit the development of type 1 DM as well as type 2 DM.","Animal research, In vivo studies"
"This cross-sectional study explored the association between serum TSK levels and obesity in 144 people in China and the association between SNP and serum TSK levels, as well as SNP and metabolic traits, in a Chinese population of 11,022 individuals.",Cross-sectional study
"However, we cannot perform a comprehensive and quantitative analysis to further evaluate the effect of these beneficial nutrients on serum cholesterol and blood pressure due to the limited RCT data.",Randomised controlled trial
"Klebsiella species are associated with cyanuric acid production in mice and generate this metabolite in vitro (82), but it remains unclear whether the gut microbiota or this organism contribute to melamine toxicity in humans.","In vitro research, Laboratory research"
Both studies showed non-significant differences in FA values when compared with the control group.,Case-control study
"During in vitro gastrointestinal digestion of mango pulp polyphenols there was a significant increase in total polyphenols, with the phenols gallic acid, 3-O-methylgallic acid, methyl gallate, 3,4-dihydroxybenzoic acid and benzoic acid being the most accessible.","In vitro research, Laboratory research"
"This explains, in some ways, why the impact of diet and exercise interventions on insulin resistance was more obvious in the overweight and obese participants.",Cohort study
Two meta-analyses have reported modest efficacy of probiotic administration in reducing the frequency and span of respiratory infections.,Meta-analysis
All participants obtained booklets containing information on the diet during the intervention periods.,Randomised controlled trial
"Finally, it is recognized that ARA competes with DHA, the latter being known to inhibit retinal neovascularization in a mouse model of ROP (Connor et al., 2007).","Animal research, In vivo studies"
The HDL-C and TBA levels in the BBR + ATB group were significantly lower than those in the control group (p < 0.05).,Non-randomised controlled trial
"Finally, 265 participants (control group (n = 113) and CRD group (n = 152)) were included in the analysis (Figure 1).",Randomised controlled trial
"Studying the resilience of the microbiota and its patterns of change, during and after dietary intervention, could allow the design of effective nutrition therapy.",Cohort study
casei Zhang and kidney protection in AKI and CKD mouse models and in an exploratory human clinical trial (Figure 2).,"Animal research, In vivo studies"
Participants who met the following inclusion criteria were enrolled: CAD cases were defined as patients with a history of documented ST-elevation acute coronary syndrome (STE-ACS).,Cohort study
"a standard vegetarian diet (control group) over a period of 8 weeks, after a run-in period of 4 weeks as mentioned.",Non-randomised controlled trial
"Of note, miRNA-29â?p family has been previously reported to regulate hepatic Enho expression in-vivo in insulin resistant male mice [32], but we found no significant correlation between the two transcripts in OVX and/or SHAM mice (Figure S4A).","In vitro research, Laboratory research"
Fasting blood samples were collected at the beginning and end of each intervention period.,Cross-sectional study
"Further, a 2-year intervention showed no significant change in total or HDL cholesterol, despite significant reductions in triglycerides over the intervention period [23].",Non-randomised controlled trial
Daily energy intake for each study participant for the seven day dietary intervention was based on the following: (REE x 1.3) + (net cost of exercise) + 200 kcal food modules as desired [33].,Randomised controlled trial
"Although there is limited evidence to support such effects, a meta-analysis of clinical trials showed a small but significant effect of milk proteins on reducing blood pressure [60].",Meta-analysis
"Results from animal models suggest that fish oil enhances the cholesterol efflux capacity of HDL [24, 25].","Animal research, In vivo studies"
"The additional trials were identified by searching the electronic literature using search terms âcardiovascular disease,â?âcoronary heart disease,â?âcoronary stenosis,â?âmyocardial infarctionâ?and ârandomized controlled trial,â?âclinical trial,â?and âfolic acidâ?or âB-vitamins.â?As in the original meta-analysis [5], additional randomized trials were eligible if (i) they involved a double-blind randomized comparison of B-vitamin supplements containing folic acid versus placebo for the prevention of vascular disease; (ii) the relevant treatment arms differed only with respect to the homocysteine-lowering intervention; and (iii) the trial involved â?,000 participants with treatment duration of â? y.",Meta-analysis
"Section from the renal cortex of the control group reveals the normal appearance of the PT, DT, Bowman's capsule and glomerulus (G) (A).",Case report
"In addition, energy expenditure increases substantially during puberty [20], which highlights the value of a longitudinal study design when addressing the putative role of LEAP2 during puberty.",Cohort study
"In this randomized placebo-controlled human interventional trial, we aimed to evaluate whether Perilla frutescens leaf powder (PLP) ameliorates Ox-LDL and home blood pressure, along with its biological antioxidant potential.",Randomised controlled trial
"Even with the reduced sample size, we were able to detect GWAS associations in the same regions (Supplemental Table 6), albeit with reduced significance.",Cross-sectional study
"Our cohort, although reporting a standard healthy BMI, WC, and fasting blood glucose, had mean FA concentrations similar to that of the obese group profiled in Sergeant et al.",Cohort study
Our study is so far the largest prospective randomised study using red wine.,Randomised controlled trial
(4) Conclusions: Our study has validated the influence of long-term HFD-induced ectopic fat on body metabolism as well as the metabolic profile deterioration both in vivo and in vitro.,"In vitro research, Laboratory research"
Previous in vivo studies investigating the effect of diabetes on AD pathology have produced ambiguous findings.,"In vitro research, Laboratory research"
"The influence of breastfeeding on energy intake at 6 months postpartum was more notable within the previously preeclamptic group, with a significantly lower energy intake in the non-breastfeeding cohort.",Cohort study
This is consistent with a clinical study that people with obesity lost three times more visceral adipose tissue with KD60.,Cohort study
"The exclusion criteria were those who had had (1) bariatric surgery, (2) chronic diseases other than obesity, and (3) antibiotics in the last 3 months.",Randomised controlled trial
"A pilot prospective study (NCT03872245) was completed in the Obesity Unit of Garcilaso Clinic (Madrid, Spain).",Cohort study
"However, we observed no significant differences between the body weight of R+ and R- from the control group, as expected since the divergent selection on RFI was performed at constant body weight.",Randomised controlled trial
"âOx-LDL and âBAP from baseline to month 6 in the placebo and PLP groups was analyzed by the MannâWhitney U test, and the results are presented as the median value and interquartile range.",Randomised controlled trial
"ELSA-Brasil is an ongoing prospective cohort of 15,105 civil servants aged 35â?4 years in six state capital cities in Brazil.",Cohort study
Beat-to-beat BP time series were derived from two groups of SpragueâDawley rats: a control group (N = 28) fed with a normal chow containing 3 kcal/g and HC-fed group (N = 23) receiving a HC diet providing 4.035 kcal/g.,"Animal research, In vivo studies"
A written informed consent was obtained from all participants after being informed about the purpose of the study.,Randomised controlled trial
"Subjects were randomly assigned to a weight reduction (WR) group (nâ?â?8), resistance training group (nâ?â?4), aerobic exercise group (nâ?â?5) or a control group (nâ?â?8).",Randomised controlled trial
We randomly assigned the wethers to either the LG (4 sheep/plot) or the OG (12 sheep/plot) groups.,Randomised controlled trial
"Grade 1 hypertension, defined as resting office blood pressure of 140â?59 and/or 90â?9âmmHg according to the European Societies of Cardiology and Hypertension (ESC/ESH) guidelines [20]","Narrative review, Expert opinion, Editorial, Ideas"
"The findings of our study confirm those of other studies ([17], pilot study) that salsify is not well known as a vegetable amongst the Walloon population in Belgium, to the extent that more than one out of ten persons (12.71%) do not recognize them when presented with their name and picture.",Case series
"During the first 2 weeks, all groups consumed a placebo sherbet powder, and afterwards a sherbet powder for 8 weeks according to the intervention group: P1000/Ca0 (1000 mg/d phosphorus), P1000/Ca500 (1000 mg/d phosphorus and 500 mg/d calcium) and P1000/Ca1000 (1000 mg/d phosphorus and 1000 mg/d calcium).",Randomised controlled trial
This discrepancy could be explained by the differences in the diets and animal models used (Zhao et al.,"Animal research, In vivo studies"
"Moreover, we conducted animal experiments to further evaluate the effects of DMB, a TMAO inhibitor, in MCT-induced PAH models.","Animal research, In vivo studies"
"After 1 week of acclimation, they were randomly allocated into three groups (n = 5/group): the NC group fed with low-fat D12450J (10% fat) diet, HFD group fed with high-fat D12492 (60% fat) diet, the HFD+QK group fed with high-fat D12492 plus 30% whole grain Qinke.",Randomised controlled trial
"A cross-sectional study of 497 Vietnamese aged 19 to 60 years (204 males, 293 females) was conducted in rural areas of Haiphong, Vietnam.",Cross-sectional study
"Observational studies have highlighted associations between short leucocyte telomere length, a telomere length marker in somatic tissues and multiple metabolic syndrome traits.",Cohort study
"Dyslipidemia was defined as serum levels of triglyceride, total cholesterol, and HDL of â?00, â?50, or <40 mg/dL, regardless of gender, according to the guidelines issued by the International Society of Endocrinology [19].","Narrative review, Expert opinion, Editorial, Ideas"
"At the final study day (day 7), the final dose of the placebo or investigational product was consumed 10 min before the time zero blood draw and consumption of the HFM.",Randomised controlled trial
"Inclusion criteria: (1) Age 18 to 40 years old, (2) BMI â?25 kg/m2, (3) the participant intends to conceive within 12 months of trial enrollment, (4) access to a smart phone.",Randomised controlled trial
"The authors of this meta-analysis pointed out that the effect is only seen with virgin olive oil, rich in phenols.",Meta-analysis
High phosphorus intake and gut-related parameters â?results of a randomized placebo-controlled human intervention study,Randomised controlled trial
"The study design was approved by the Ethics Committee of the First Affiliated Hospital, Guangxi Medical University (Nanning, China).",Cohort study
Our results are consistent with another study that also failed to replicate the anti-diabetic properties of NEN at the same dose in the same mouse model [18].,"Animal research, In vivo studies"
All these results showed that there is an improvement in anthropometric and biochemical parameters in a short period of diet intervention.,Cohort study
"In the study and analysis, HDL-C increased in four studies under the low-carbohydrate diet intervention.",Cohort study
This study was conducted according to the guidelines specified in the Declaration of Helsinki.,"Narrative review, Expert opinion, Editorial, Ideas"
The higher systolic blood pressure may reflect a poor cardiovascular condition and a different type of microbiota dysbiosis from the probiotics group and thus may lead to a bias of the impacted alterations of gut microbiota in the placebo group when compared to the probiotic group.,Randomised controlled trial
"Obese animals were distributed into two groups, orally treated with the vehicle (obese + vehicle) or with the combination of metabolic cofactors (obese + MC) for 4 weeks.","Animal research, In vivo studies"
"In this prospective study, no difference in BDNF levels could be found between children with obesity, both with and without OSA.",Cohort study
"This observational study was performed at the dialysis unit of the BaoTou Central Hospital, Inner Mongolia, China, between October 2017 and January 2018.",Cohort study
"Participants will be individually randomised in a 1:3:3 ratio, to either the control group or one of two active interventions.",Randomised controlled trial
The total duration of the intervention was 8 weeks after completion of standard 4 weeks of diet and exercise run-in period (a standard time period to prepare all participants for the study and bring them at a common start point) similar to the intervention period in one of our previous studies [24].,Randomised controlled trial
"Furthermore, an improved understanding of the risks associated with different apoB concentrations, as well as the presence of potentially critical thresholds of exposure or potentially critical periods of exposure during early adult life, is needed to inform testing guidelines for this central determinant of ASCVD risk.","Narrative review, Expert opinion, Editorial, Ideas"
"In conclusion, we demonstrated in this study a significant association between HSD and gut microbial composition in the DSS rat model.","Animal research, In vivo studies"
"This ad hoc analysis was based on earlier results of a cross-over, randomized controlled trial of postmenopausal women consuming rapeseed oil-based margarine without or with plant stanol ester (3 g plant stanols/day) for seven weeks.",Randomised controlled trial
Our aim was to investigate the cross-sectional relationship between habitual dietary intake and gut microbiota structure in the Cooperative Health Research in the Region of Augsburg (KORA) FF4 study.,Cross-sectional study
"Similarly, the 2013 Australian Dietary Guidelines recommend that adults aged 19â?0 should consume at least 6 servings of grain per day of which two thirds should be whole grain; the Australian guidelines also specifically identify quinoa in the cereal group [25].","Narrative review, Expert opinion, Editorial, Ideas"
"Extending the daily fasting duration in animal models, TRF promotes the mobilization of free fatty acids (FFA), and increases fat oxidation and the production of ketones [69].","Animal research, In vivo studies"
"All animal experiments were performed in the lab of the Institutional Animal Care and Use Committee of Beijing Vital River Laboratory Animal Technology Co., Ltd.","Animal research, In vivo studies"
"The number of volunteers needed in each intervention group for a two-sided test, a 0.05 Type I error rate, and an estimated power of 0.99 was 11.",Randomised controlled trial
The study intervention involves behavioral counseling and promotes consumption of dietary components thought to reduce risk of cardiometabolic disease and has expected applicability in clinical practice.,Randomised controlled trial
"Previously, quercetin was indicated to have no effect on the content of apoA1 [3], which is beneficial to RCT.",Randomised controlled trial
Hence there is an extensive body of evidence from both animal models and human studies that support the safety of LCS.,"Animal research, In vivo studies"
"As described above, diet analysis during the LF and HF interventions indicated that our participants consumed a much greater % energy from fat/SFA and less % energy from carbohydrates than the BOLD/BOLD+ studies [12,14], which likely explains many of the differences in responses to our dietary interventions.",Cohort study
This meta-analysis also ruled out the bacterial challenged studies because they were not the focus of the current study.,Meta-analysis
"Moreover, fasting blood insulin significantly decreased (MD â?.49 mIU/L, 95% CI â?.32, â?.66; p < 0.001; I2 = 0%; 12 RCTs; 519 participants, Table 2, Figure 6) as well as HOMA-IR (MD â?.92, 95% CI â?.57, â?.27; p = 0.01; I2 = 77%, 11 RCTs, 489 participants, Table 2, Figure 7).",Randomised controlled trial
"Due to the inclusion and exclusion criteria, how far participants lived from the Research Unit, the duration of the protocol (27 days), and the fact that patients were restricted to the hospital setting at all times during the protocol, the number of participants who could be recruited decreased.",Randomised controlled trial
"Total Na+ intake was manipulated via ingestion of capsules containing either a placebo (dextrose) or table salt (3900 mg Na+/day) for 10 days each, separated by â? weeks.",Randomised controlled trial
There were no significant differences in AL ratio among intervention groups at baseline.,Randomised controlled trial
"If the blood tests confirm that the participants have LDL cholesterol â?.0âmmol/L and they have completed two web based dietary recalls, they will be randomised to one of the three intervention groups.",Randomised controlled trial
"After three months of inactivity, body mass of the control group changed by â?.9 kg (95% CI, â?.1 to â?.6 kg), whereas no changes were noted in the exercise group (0.02 kg; 95% CI, â?.2 to 1.2 kg).",Randomised controlled trial
"Reduced glucose tolerance is usually a result of lower insulin release [36], however, in the current study, insulin levels were significantly higher than the âobeseâ?controls at the end of the intervention period.",Non-randomised controlled trial
The first case-control study included 2220 normal-weight adults (with a BMIâ?â?5 kg/m2) and 1179 adults presenting with obesity (with a BMIââ¥â?0 kg/m2).,Case-control study
"In addition, the control group similarly received P.",Non-randomised controlled trial
The CR diet consisted of ~60% calories of the recommended daily calorie intake for men and women in the 2016 Dietary Guidelines for Chinese Residents [21] (men: 2400 kcal/day; women: 2000 kcal/day).,"Narrative review, Expert opinion, Editorial, Ideas"
"The EpiDREAM prospective cohort study (n = 15,466 individuals) has shown that South Asians might have a greater genetic load for T2D than Latinos and Europeans [59].",Cohort study
"Therefore, samples size of this pilot study was fixed according to the number of subjects normally included for studies investigating bioavailability of dietary compounds [23,24].",Case series
The hierarchy by which factors predict propionate response found in our MLR analysis (single taxa < CARGs < PCs) supports an ecological framework that considers microbiomes as complex communities of interacting members to interpret and predict functional outcomes of fiber fermentation in future human intervention trials.,Randomised controlled trial
"longum and 2-h glucose measures at a 4-y follow-up time point as well as the change in glucose concentrations over time, in a nested caseâcontrol study where B.",Case-control study
The study protocol was approved by the Regional Ethical Review Board in Gothenburg and all included subjects gave written informed consent.,Randomised controlled trial
"In conclusion, this 8-week randomized control trial demonstrates that a higher protein, higher fat and moderately lower carbohydrate from lacto-vegetarian source as compared to standard vegetarian control diets leads to significant reductions in weight, waist circumference, and improves the cardio-metabolic profile among obese Asian Indians.",Randomised controlled trial
Only human studies published in English were included.,Cohort study
Observational studies show that coffee consumption is associated with anaemia [29].,Cohort study
Both parallel-group and crossover designs were included.,Randomised controlled trial
"In the present study, exercise intervention was designed as an RS exercise, and no effects of exercise intervention were found on the participantsâ?CV health.",Randomised controlled trial
"Interestingly, men of the P1000/Ca1000 group showed a shift of the microbial community compared to men of the two other intervention groups.",Cohort study
"In addition, we previously reported that, in our current weightâloss intervention study, the concentrations of several plasma biomarkers of systemic inflammation were not altered by the weightâloss intervention (25).",Cohort study
"After 40 days of the feeding trial, serum biochemical parameters such as glutamic-pyruvic transaminase, glutamic-oxaloacetic transaminase, triglycerides, and total cholesterol levels were significantly decreased in pigs fed the CN supplemented diet.",Randomised controlled trial
"A total of 1640 patients were included in the 12 trials[15â?6],including 820 in the observation group and 820 in the control group.",Randomised controlled trial
"We assessed raw data for quality control and log2 transformed using the R packages GEOquery, limma and umap.","In vitro research, Laboratory research"
"In this pilot proof-of-concept study we analysed in humans if, as we previously suggested in rodents, PBMC could be a surrogate tissue to study overweight/obesity impact on lipid metabolism.",Case series
All intervention groups underwent an 8-day cycle.,Randomised controlled trial
"The challenge was repeated after 14 days consumption of FMP or a control product in a double-blind, randomized, parallel design.",Randomised controlled trial
The similar trend was also found in Canada on the basis of a ten-year cohort study [26].,Cohort study
Double-blind product assignment was ensured by labelled study preparations handed out by the investigator.,Randomised controlled trial
The average BMI was 44.6Â±3.7 (range 41.5-50.9) in the obese group vs 22.7Â±3.6 (range 16.4-25.0) in the control group (P=0.008).,Cohort study
"Vitamin D supplements were consumed by 63% of the SCI cohort in amounts ranging from 500 to 2000 IU per day, with one individual reporting taking 50,000 IU weekly at the time of assessment; 50% of participants were consuming at least 1000 IU per day not including a multivitamin.",Cohort study
"The scientific results of PERSUADED will provide a baseline for future risk assessment of BPA and DEHP, with new data concerning the following: (i) the exposure of children and their mothers in Italy, (ii) the toxicity endpoints emerged from animal models, and (iii) the association with some endocrine-related diseases in children from the case-control studies.",Case-control study
"This research study was a randomized, controlled, single-blinded, parallel-design study.",Randomised controlled trial
"This study is a prospective age-matched cohort study in transgender adults commencing GAHT (n=80) and age-matched individuals not commencing GAHT (n=80), conducted at Austin Health and Victoria University in Victoria, Australia.",Cohort study
