PMCID,ORIGINAL SENTENCE,NER ANNOTATION,IAO SECTION
PMC10033662_v1,"Compared with that in the control group (2.05%), the Bacteroides content was higher in the BBR group (5.80%) and lower in the ATB (0.17%) and ATB + BBR groups (0.16%).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 26, ""end"": 39, ""score"": 0.9998432397842407}]",IAO:0000318 results section
PMC10033662_v1,"The contents of Faecalibacterium, Lactobacillus, and Lactococcus in the control group were 0.53%, 0.65%, and 0.39%, respectively, while those in the BBR group were 3.62%, 2.56%, and 1.23%, respectively.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 72, ""end"": 85, ""score"": 0.9998932480812073}]",IAO:0000318 results section
PMC10033662_v1,"Compared with that in the control group, the number of intestinal microbiota significantly increased in the BBR group (low concentration B1, high concentration B2) and decreased in the mixed ATB group (low concentration A1, high concentration A2).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 26, ""end"": 39, ""score"": 0.9998767375946045}]",IAO:0000318 results section
PMC10033662_v1,"The single colony sequencing results revealed that the characteristic bacteria in the control group were Bacillus sp., Aeromonas hydrophila, and Citrobacter freundii.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 86, ""end"": 99, ""score"": 0.9998652935028076}]",IAO:0000318 results section
PMC10033662_v1,"Compared with those in the control group, the serum GOT level were significantly downregulated in the BBR group and significantly upregulated in the ATB group at the end of the experimental period.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 27, ""end"": 40, ""score"": 0.999842643737793}]",IAO:0000319 discussion section
PMC10033662_v1,"Compared with those in the control group, the serum TC, TG, and LDL-C levels were downregulated and the serum TBA and HDL-C levels were significantly upregulated in the BBR group.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 27, ""end"": 40, ""score"": 0.9998458623886108}]",IAO:0000319 discussion section
PMC10033662_v1,"The serum TBA level in the ATB group were significantly lower than those in the control group, indicating that the addition of ATB may not promote serum GLU metabolism and lipid metabolism in largemouth bass.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 80, ""end"": 93, ""score"": 0.9998907446861267}]",IAO:0000319 discussion section
PMC10033662_v1,"The serum GLU level in the BBR group were significantly lower than those in the control group, indicating that the addition of BBR decreased the blood GLU level in largemouth bass, which is consistent with the results of Pan et al.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 80, ""end"": 93, ""score"": 0.999897837638855}]",IAO:0000319 discussion section
PMC10033662_v1,"The hepatic activities of HK, PK, and G6P, which are the three key enzymes of glycolysis, in the BBR group were significantly higher than those in the control group.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 151, ""end"": 164, ""score"": 0.9998257160186768}]",IAO:0000319 discussion section
PMC10033662_v1,The serum GLU level in the ATB group were significantly higher than those in the control group.,"[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 81, ""end"": 94, ""score"": 0.9994887709617615}]",IAO:0000319 discussion section
PMC10033662_v1,"Compared with that in the control group, the intestinal microbial community richness was upregulated in the BBR group and the community diversity was downregulated in the ATB and BBR + ATB groups.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 26, ""end"": 39, ""score"": 0.9998765587806702}]",IAO:0000319 discussion section
PMC10033662_v1,"cloacae, and this bacteria also was found (only <0.1%) within molecular methods in vivo.","[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 80, ""end"": 87, ""score"": 0.8556017279624939}]",IAO:0000319 discussion section
PMC10035599_v1,"After 12 weeks of intervention with BSDF in high-fat mice, we detected obesity-related phenotypic indicators, and made transcriptomic analysis of liver tissue.","[{""entity_group"": ""methodology"", ""word"": ""12 weeks of intervention"", ""start"": 6, ""end"": 30, ""score"": 0.9652196168899536}]",IAO:0000315 textual abstract section
PMC10035599_v1,"Animal experiments (1): 5-week-old male C57BL/6J mice (Vital River Laboratory Animal Technology Co., Beijing, China) were purchased and raised in a fixed environment (12 h light/dark cycle, 25 ± 2°C, 55% ± 10% humidity).","[{""entity_group"": ""methodology"", ""word"": ""animal experiments"", ""start"": 0, ""end"": 18, ""score"": 0.9999390244483948}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10035599_v1,"After an adaptive feeding for 1 week, the mice were randomly divided into three groups: normal control diet (NCD), high-fat diet (HFD), high-fat diet supplemented with 6% BSDF freeze-dried powder (HFD-BSDF) (n = 8 per group) for 12 weeks.","[{""entity_group"": ""methodology"", ""word"": ""randomly divided"", ""start"": 52, ""end"": 68, ""score"": 0.9999151229858398}, {""entity_group"": ""methodology"", ""word"": ""normal control"", ""start"": 88, ""end"": 102, ""score"": 0.9998732805252075}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10035599_v1,"Animal experiments (2): Mices were administrated with high-fat diet (A-HFD) and high-fat diet supplemented with 6% BSDF freeze-dried powder (A-HFD-BSDF), respectively.","[{""entity_group"": ""methodology"", ""word"": ""animal experiments"", ""start"": 0, ""end"": 18, ""score"": 0.999921441078186}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10035599_v1,Our animal experiments were supported by the Animal Protection Professional Committee of China Agricultural University (AW40601202-4-1).,"[{""entity_group"": ""methodology"", ""word"": ""animal experiments"", ""start"": 4, ""end"": 22, ""score"": 0.9998946785926819}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10035599_v1,A long-term study of high-fat induced obesity in C57BL/6J mice showed that the addition of oat insoluble fiber suppressed weight gain and lipid accumulation (26).,"[{""entity_group"": ""methodology"", ""word"": ""long - term study"", ""start"": 2, ""end"": 17, ""score"": 0.9988828301429749}]",IAO:0000319 discussion section
PMC10035599_v1,"Insoluble dietary fiber from enoki mushrooms, carrots and oats had hypoglycaemic and hypolipidaemic effects in both in vitro and in vivo experiments (27).","[{""entity_group"": ""methodology"", ""word"": ""in vitro and in vivo"", ""start"": 116, ""end"": 136, ""score"": 0.9287241697311401}]",IAO:0000319 discussion section
PMC10035599_v1,After gavage of sterile filtered donor fecal suspension (FVT) from a lean donor in a diet-induced obese mouse model by Rasmussen et al.,"[{""entity_group"": ""methodology"", ""word"": ""gavage"", ""start"": 6, ""end"": 12, ""score"": 0.99504154920578}, {""entity_group"": ""methodology"", ""word"": ""mouse model"", ""start"": 104, ""end"": 115, ""score"": 0.9842494130134583}]",IAO:0000319 discussion section
PMC10045327_v1,"Ability of a Polyphenol-Rich Nutraceutical to Reduce Central Nervous System Lipid Peroxidation by Analysis of Oxylipins in Urine: A Randomized, Double-Blind, Placebo-Controlled Clinical Trial","[{""entity_group"": ""methodology"", ""word"": ""randomized, double - blind, placebo - controlled clinical trial"", ""start"": 132, ""end"": 191, ""score"": 0.9567748308181763}]",IAO:0000305 document title
PMC10045327_v1,"A total of 92 subjects (47 females, 45 males, age 34 ± 11 years old, weight 73.10 ± 14.29 kg, height 1.72 ± 9 cm, body mass index (BMI) 24.40 ± 3.43 kg/m2) completed a randomized, cross-over, double-blind study after an intervention of two periods of 16 weeks consuming either extract (EXT) or placebo (PLA) separated by a 4-week washout period.","[{""entity_group"": ""methodology"", ""word"": ""double - blind"", ""start"": 192, ""end"": 204, ""score"": 0.9997723698616028}, {""entity_group"": ""methodology"", ""word"": ""placebo"", ""start"": 294, ""end"": 301, ""score"": 0.9998313188552856}, {""entity_group"": ""methodology"", ""word"": ""washout period"", ""start"": 330, ""end"": 344, ""score"": 0.99961918592453}]",IAO:0000315 textual abstract section
PMC10045327_v1,"The study consisted of a randomized, double-blind, crossover, two-arm, placebo-controlled, sex-stratified, single-center clinical trial, which was described in detail and illustrated in a previous publication [36].","[{""entity_group"": ""methodology"", ""word"": ""double - blind"", ""start"": 37, ""end"": 49, ""score"": 0.9996102452278137}, {""entity_group"": ""methodology"", ""word"": ""two - arm"", ""start"": 62, ""end"": 69, ""score"": 0.9963262677192688}, {""entity_group"": ""methodology"", ""word"": ""placebo - controlled"", ""start"": 71, ""end"": 89, ""score"": 0.9961674809455872}, {""entity_group"": ""methodology"", ""word"": ""sex - stratified"", ""start"": 91, ""end"": 105, ""score"": 0.9986422657966614}, {""entity_group"": ""methodology"", ""word"": ""single - center clinical trial"", ""start"": 107, ""end"": 135, ""score"": 0.9977434873580933}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10045327_v1,"The intervention phase lasted for 36 weeks, divided into two phases of 16 weeks wherein subjects consumed either extract or placebo, separated by a 4-week washout period, after which subjects transitioned to the opposite arm of the study.","[{""entity_group"": ""methodology"", ""word"": ""placebo"", ""start"": 124, ""end"": 131, ""score"": 0.999500036239624}, {""entity_group"": ""methodology"", ""word"": ""washout period"", ""start"": 155, ""end"": 169, ""score"": 0.9993395805358887}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10045327_v1,"The subjects had to meet certain inclusion criteria: signing an informed consent form, not consuming more than three servings of fruit and vegetables per day, having a BMI between 18.5 and 35 kg/m2, and being aged between 18 and 65 years old.","[{""entity_group"": ""methodology"", ""word"": ""inclusion criteria"", ""start"": 33, ""end"": 51, ""score"": 0.9999285340309143}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10045327_v1,"The same research group performed a bioavailability study showing that of the 92 molecules monitored, 20 of them could be detected in the plasma of the subjects, all of them in the form of conjugates and at different times depending on the site of absorption from the gastrointestinal tract [39].","[{""entity_group"": ""methodology"", ""word"": ""bioavailability study"", ""start"": 36, ""end"": 57, ""score"": 0.9722172617912292}]",IAO:0000633 materials section; IAO:0000317 methods section
